r_left,r_right,b_left,b_right,u_left,u_right,lower_bound_F,upper_bound_F
0.5351312500000001,0.5428790625000001,0.896321895662443455196405818222673677256249999998,1,0.875,1,"[-7.238309692115331373, -7.238309692115331373]","[-0.4555445373760575456, -0.4555445373760575456]"
0.5428790625000001,0.5506268750000001,0.878299451935162353185557966640641962387499999998,0.939149725967581176592778983320320981193749999999,0,0.0625,"[-3.9117741487424608771, -3.9117741487424608771]","[-0.074043394812926405235, -0.074043394812926405235]"
0.5428790625000001,0.5506268750000001,0.939149725967581176592778983320320981193749999999,0.9695748629837905882963894916601604905968749999995,0,0.03125,"[-2.6739671950969756686, -2.6739671950969756686]","[-0.54131830176277639932, -0.54131830176277639932]"
0.5428790625000001,0.5506268750000001,0.9695748629837905882963894916601604905968749999995,1,0,0.03125,"[-2.4211680849311973951, -2.4211680849311973951]","[-0.22388706508205788448, -0.22388706508205788448]"
0.5428790625000001,0.5506268750000001,0.939149725967581176592778983320320981193749999999,0.9695748629837905882963894916601604905968749999995,0.03125,0.0625,"[-2.6756667499736983551, -2.6756667499736983551]","[-0.54970278124402705, -0.54970278124402705]"
0.5428790625000001,0.5506268750000001,0.9695748629837905882963894916601604905968749999995,1,0.03125,0.0625,"[-2.41162071197853356, -2.41162071197853356]","[-0.22425388204191551433, -0.22425388204191551433]"
0.5428790625000001,0.5506268750000001,0.878299451935162353185557966640641962387499999998,0.939149725967581176592778983320320981193749999999,0.0625,0.125,"[-3.9544144593209984428, -3.9544144593209984428]","[-0.13493057275754113955, -0.13493057275754113955]"
0.5428790625000001,0.5506268750000001,0.939149725967581176592778983320320981193749999999,0.9695748629837905882963894916601604905968749999995,0.0625,0.09375,"[-2.6916613649795464447, -2.6916613649795464447]","[-0.56871187304533543649, -0.56871187304533543649]"
0.5428790625000001,0.5506268750000001,0.9695748629837905882963894916601604905968749999995,1,0.0625,0.09375,"[-2.4187582433390324432, -2.4187582433390324432]","[-0.23655626631499646062, -0.23655626631499646062]"
0.5428790625000001,0.5506268750000001,0.939149725967581176592778983320320981193749999999,0.9695748629837905882963894916601604905968749999995,0.09375,0.125,"[-2.7187821184738090174, -2.7187821184738090174]","[-0.59645804555641157574, -0.59645804555641157574]"
0.5428790625000001,0.5506268750000001,0.9695748629837905882963894916601604905968749999995,1,0.09375,0.125,"[-2.4386080753226173634, -2.4386080753226173634]","[-0.25855719035900420755, -0.25855719035900420755]"
0.5428790625000001,0.5506268750000001,0.878299451935162353185557966640641962387499999998,0.939149725967581176592778983320320981193749999999,0.125,0.1875,"[-4.0364764726790962612, -4.0364764726790962612]","[-0.22153204998219908073, -0.22153204998219908073]"
0.5428790625000001,0.5506268750000001,0.939149725967581176592778983320320981193749999999,0.9695748629837905882963894916601604905968749999995,0.125,0.15625,"[-2.7549089928079246725, -2.7549089928079246725]","[-0.63157198186047247557, -0.63157198186047247557]"
0.5428790625000001,0.5506268750000001,0.9695748629837905882963894916601604905968749999995,1,0.125,0.15625,"[-2.4685932270677617417, -2.4685932270677617417]","[-0.28866225330510303371, -0.28866225330510303371]"
0.5428790625000001,0.5506268750000001,0.939149725967581176592778983320320981193749999999,0.9695748629837905882963894916601604905968749999995,0.15625,0.1875,"[-2.7985399125009542409, -2.7985399125009542409]","[-0.67302237968571654303, -0.67302237968571654303]"
